Roll_Number,Name,Marks
23B0101,JohnSmith,85
23B0102,EmilyJohnson,78
23B0103,MichaelWilliams,92
23B0104,JessicaBrown,67
23B0105,DanielMiller,88
23B0106,SarahDavis,73
23B0107,DavidWilson,95
23B0108,JenniferTaylor,81
23B0109,ChristopherMartinez,79
23B0110,AmandaAnderson,90
23B0111,MatthewThomas,72
23B0112,AshleyJackson,84
23B0113,JamesWhite,87
23B0114,ElizabethHarris,68
23B0115,JoshuaMartin,91
23B0116,LaurenThompson,76
23B0117,AndrewGarcia,82
23B0118,SamanthaMartinez,77
23B0119,NicholasRobinson,89
23B0120,MeganLewis,70
23B0121,RyanLee,83
23B0122,TaylorWalker,75
23B0123,BrandonHall,93
23B0124,KimberlyRodriguez,80
23B0125,WilliamLopez,74
23B0126,NicoleHill,86
23B0127,JosephYoung,69
23B0128,HaleyAllen,94
23B0129,KevinScott,71
23B0130,OliviaKing,96
23B0131,BenjaminGreen,65
23B0132,VictoriaBaker,97
23B0133,SamuelPerez,66
23B0134,NatalieCook,98
23B0135,AlexanderBrooks,63
23B0136,DanielleReed,99
23B0137,EricRivera,64
23B0138,RachelMitchell,100
23B0139,TylerCarter,62
23B0140,MichelleMorris,101
23B0141,JasonPerry,61
23B0142,HannahEvans,102
23B0143,PatrickNelson,60
23B0144,KelseyBennett,103
23B0145,JustinMurphy,59
23B0146,LindseyMorgan,104
23B0147,AustinCooper,58
23B0148,ChelseaRamirez,105
23B0149,DylanPowell,57
23B0150,MadisonKelly,106
23B0151,JordanTorres,56
23B0152,ErinWood,107
23B0153,KyleRichardson,55
23B0154,AmberWard,108
23B0155,GregoryFlores,54
23B0156,KaylaHoward,109
23B0157,SethLong,53
23B0158,AlexisSanchez,110
23B0159,IanDiaz,52
23B0160,SavannahBarnes,111
23B0161,JuanCollins,51
23B0162,AngelaBennett,112
23B0163,RonaldRivera,50
23B0164,TaraGray,113
23B0165,RandyWard,49
23B0166,CatherineReed,114
23B0167,JesseCox,48
23B0168,MonicaRoss,115
23B0169,MarcusPrice,47
23B0170,LauraGriffin,116
23B0171,DerrickBell,46
23B0172,BrendaWatson,117
23B0173,VictorBrooks,45
23B0174,AprilButler,118
23B0175,PhillipColeman,44
23B0176,CassandraBarnes,119
23B0177,ToddPowell,43
23B0178,ChristineJenkins,120
23B0179,RaymondMurphy,42
23B0180,DianaPatterson,121
23B0181,AudreyFoster,122
23B0182,BryanReed,123
23B0183,GraceColeman,124
23B0184,JeremyHayes,125
23B0185,KellyWashington,126
23B0186,TimothySimmons,127
23B0187,PamelaHughes,128
23B0188,MartinPrice,129
23B0189,CherylRivera,130
23B0190,GregoryJenkins,131
23B0191,LauraPatterson,132
23B0192,RogerSanchez,133
23B0193,ShannonDiaz,134
23B0194,CynthiaCarter,135
23B0195,KeithThompson,136
23B0196,BrittanyBell,137
23B0197,AlanWard,120
23B0198,ChristineMartinez,139
23B0199,PhilipNelson,140
23B0200,MonicaBaker,141
23B0201,RussellMitchell,142
23B0202,JuliaHill,143
23B0203,RaymondFlores,144
23B0204,ValerieYoung,145
23B0205,HarryWhite,146
23B0206,TheresaCooper,147
23B0207,RandyPerry,148
23B0208,KathleenTorres,149
23B0209,NathanLee,150
23B0210,DeniseJohnson,151
23B0211,EdwardGarcia,152
23B0212,JanetMorris,153
23B0213,CarlLewis,154
23B0214,GailMartin,155
23B0215,FrankHarris,156
23B0216,MarthaScott,157
23B0217,JohnnyKing,158
23B0218,DebraAnderson,159
23B0219,VincentThomas,160
23B0220,MargaretJackson,161
23B0221,BruceBrown,162
23B0222,PaulaMartinez,163
23B0223,WayneAllen,164
23B0224,JaniceRodriguez,165
23B0225,ToddHill,166
23B0226,LillianYoung,167
